track,trackid,track_uri,album_name,album_id,artist,duration,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Sick,7kHch2Mc1guIeHbbTVz4Fc,2c2LBkUoutvB6a8nbwwvp8,King Night,7kHch2Mc1guIeHbbTVz4Fc,Salem,199853,FALSE,26,0.656,0.687,0,-7.252,1,0.051,1.94e-4,0.105,0.19,0.39,119.97,audio_features,spotify:track:2c2LBkUoutvB6a8nbwwvp8,https://api.spotify.com/v1/tracks/2c2LBkUoutvB6a8nbwwvp8,https://api.spotify.com/v1/audio-analysis/2c2LBkUoutvB6a8nbwwvp8,199853,4
Acque,5cPD0ucTL8FkM0Zgd1kikj,3xZn2zxDqQ0dzKLMhr4CJf,Phantom Love: Selected Mannequin Records 2012,5cPD0ucTL8FkM0Zgd1kikj,Suicide Dada,297095,FALSE,1,0.597,0.736,0,-11.042,1,0.113,0.0379,0.703,0.101,0.441,176.987,audio_features,spotify:track:3xZn2zxDqQ0dzKLMhr4CJf,https://api.spotify.com/v1/tracks/3xZn2zxDqQ0dzKLMhr4CJf,https://api.spotify.com/v1/audio-analysis/3xZn2zxDqQ0dzKLMhr4CJf,297096,3
Disco Rough,3qS5UxjVZpZfsB40Neqsn5,41BD2sh7ICCd2YHemxfjzU,Les visiteurs du soir,3qS5UxjVZpZfsB40Neqsn5,Mathématiques Modernes,279146,FALSE,0,0.77,0.58,1,-11.378,1,0.0779,3.06e-4,0.914,0.1,0.58,153.322,audio_features,spotify:track:41BD2sh7ICCd2YHemxfjzU,https://api.spotify.com/v1/tracks/41BD2sh7ICCd2YHemxfjzU,https://api.spotify.com/v1/audio-analysis/41BD2sh7ICCd2YHemxfjzU,279147,4
My Radio - Legowelt Remake,5NsdVGsasDG2vwFpFMfBWR,5C0r4LVuBofhW1gwbzMbVm,Elevators and Oscillators,5NsdVGsasDG2vwFpFMfBWR,Solvent,234800,FALSE,3,0.661,0.914,2,-6.642,1,0.0373,0.00485,0.883,0.0942,0.642,151.004,audio_features,spotify:track:5C0r4LVuBofhW1gwbzMbVm,https://api.spotify.com/v1/tracks/5C0r4LVuBofhW1gwbzMbVm,https://api.spotify.com/v1/audio-analysis/5C0r4LVuBofhW1gwbzMbVm,234800,4
Dark Entries,2zsS6ytkHmbbcj2X86P1fM,7e6RHIWUItyVtF1Jl7TDOw,Singles,2zsS6ytkHmbbcj2X86P1fM,Bauhaus,232986,FALSE,28,0.184,0.96,2,-6.503,1,0.103,3.87e-4,0.462,0.277,0.27,171.173,audio_features,spotify:track:7e6RHIWUItyVtF1Jl7TDOw,https://api.spotify.com/v1/tracks/7e6RHIWUItyVtF1Jl7TDOw,https://api.spotify.com/v1/audio-analysis/7e6RHIWUItyVtF1Jl7TDOw,232987,4
The Cutter,0VYyqjM5H2sXj6z8ocAyjb,1uquUeoieXGKOyuHfjWWdS,Songs To Learn And Sing,0VYyqjM5H2sXj6z8ocAyjb,Echo & the Bunnymen,232746,FALSE,38,0.471,0.955,7,-5.219,1,0.121,0.00485,1.44e-6,0.162,0.35,139.266,audio_features,spotify:track:1uquUeoieXGKOyuHfjWWdS,https://api.spotify.com/v1/tracks/1uquUeoieXGKOyuHfjWWdS,https://api.spotify.com/v1/audio-analysis/1uquUeoieXGKOyuHfjWWdS,232746,4
Wipe Your Tears Away,4bktpjkAeTgM5cpmw8yQt7,3nUXwDRUmvAZ0rzUcL4H8X,Robofication,4bktpjkAeTgM5cpmw8yQt7,Steril,234120,FALSE,2,0.768,0.716,1,-9.274,1,0.0465,0.00402,0.0977,0.0813,0.388,135.008,audio_features,spotify:track:3nUXwDRUmvAZ0rzUcL4H8X,https://api.spotify.com/v1/tracks/3nUXwDRUmvAZ0rzUcL4H8X,https://api.spotify.com/v1/audio-analysis/3nUXwDRUmvAZ0rzUcL4H8X,234120,1
Too Many Questions,7j55BaR1z2eTXQxQN2zfms,2HrJ7xCYtelidBuKdLOdnT,Relax,7j55BaR1z2eTXQxQN2zfms,Frustration,217760,TRUE,0,0.535,0.965,4,-4.82,1,0.0378,0.0619,0.694,0.397,0.431,135.079,audio_features,spotify:track:2HrJ7xCYtelidBuKdLOdnT,https://api.spotify.com/v1/tracks/2HrJ7xCYtelidBuKdLOdnT,https://api.spotify.com/v1/audio-analysis/2HrJ7xCYtelidBuKdLOdnT,217760,4
Until The End Of Time,3jf9mgz9FWpvWU6Ca6pYAD,3MKRLr3OO6WQueR9r1GRhy,Interceptors,3jf9mgz9FWpvWU6Ca6pYAD,Screen Vinyl Image,254960,FALSE,10,0.5,0.864,11,-6.378,0,0.0393,0.154,0.952,0.162,0.278,129.995,audio_features,spotify:track:3MKRLr3OO6WQueR9r1GRhy,https://api.spotify.com/v1/tracks/3MKRLr3OO6WQueR9r1GRhy,https://api.spotify.com/v1/audio-analysis/3MKRLr3OO6WQueR9r1GRhy,254960,4
So Young But So Cold,4EDr2J4ORoMucOopdNEZOt,5ABaTg4BYKBzGTklCaTsBT,Try Out,4EDr2J4ORoMucOopdNEZOt,Kas Product,181040,FALSE,0,0.541,0.926,0,-3.019,1,0.116,0.00498,0,0.32,0.564,89.156,audio_features,spotify:track:5ABaTg4BYKBzGTklCaTsBT,https://api.spotify.com/v1/tracks/5ABaTg4BYKBzGTklCaTsBT,https://api.spotify.com/v1/audio-analysis/5ABaTg4BYKBzGTklCaTsBT,181040,4
